;Unnamed: 0;Position;Name;Salary;GameInfo;AvgPointsPerGame;Team;Opponent;Projection;Actual_fpts;Consistency;Unpredictability
0;0;SF/PF;LeBron James;11600;CLE@MIL 12/19/2017 08:00PM ET;58.073;CLE;MIL;59.68;60.25;15.223901548636382;2.5824489999999978
1;1;SF/PF;Giannis Antetokounmpo;11400;CLE@MIL 12/19/2017 08:00PM ET;55.87;MIL;CLE;52.99;60.5;7.916789214737768;8.294399999999975
2;2;PF/C;DeMarcus Cousins;10700;NO@WAS 12/19/2017 07:00PM ET;55.008;NO;WAS;56.44;49.25;13.334240648953747;2.050623999999986
3;3;PF/C;Anthony Davis;10100;NO@WAS 12/19/2017 07:00PM ET;48.72;NO;WAS;48.66;51.25;15.97814662564602;0.0036000000000002727
4;5;PG/SF;Ben Simmons;9500;SAC@PHI 12/19/2017 07:00PM ET;45.231;PHI;SAC;45.97;47.0;7.909762211046177;0.5461209999999959
5;6;PG;John Wall;8800;NO@WAS 12/19/2017 07:00PM ET;41.17100000000001;WAS;NO;49.82;43.5;9.295103997983745;74.8052009999999
6;7;PF/C;Kevin Love;7800;CLE@MIL 12/19/2017 08:00PM ET;38.308;CLE;MIL;35.51;44.5;11.952910776183007;7.8288040000000105
7;8;SG;Bradley Beal;7700;NO@WAS 12/19/2017 07:00PM ET;37.483;WAS;NO;38.75;44.25;10.087663996797312;1.6052890000000077
8;9;SG/SF;Khris Middleton;7300;CLE@MIL 12/19/2017 08:00PM ET;36.402;MIL;CLE;37.49;37.0;14.552593652890325;1.1837440000000021
9;10;PG/SG;Jrue Holiday;7100;NO@WAS 12/19/2017 07:00PM ET;35.092;NO;WAS;34.95;33.0;9.598553893275033;0.02016399999999884
10;11;PG/SG;Eric Bledsoe;6700;CLE@MIL 12/19/2017 08:00PM ET;32.298;MIL;CLE;29.2;38.75;11.918663744503634;9.597604000000016
11;12;PF/C;Zach Randolph;6400;SAC@PHI 12/19/2017 07:00PM ET;29.24;SAC;PHI;30.28;34.25;10.588713990404509;1.0816000000000057
12;13;SF/PF;Robert Covington;6200;SAC@PHI 12/19/2017 07:00PM ET;31.76;PHI;SAC;32.83;28.75;10.220805706060837;1.144899999999993
13;14;PF/C;Dario Saric;6100;SAC@PHI 12/19/2017 07:00PM ET;25.787;PHI;SAC;27.96;27.75;10.232948514192657;4.721929000000008
14;15;PG;Rajon Rondo;6000;NO@WAS 12/19/2017 07:00PM ET;27.344;NO;WAS;29.83;6.0;7.783147239541402;6.180195999999985
15;16;SG/SF;JJ Redick;5400;SAC@PHI 12/19/2017 07:00PM ET;27.712;PHI;SAC;27.91;12.5;9.064338893892556;0.039204000000000155
16;17;PF/C;Willie Cauley-Stein;5200;SAC@PHI 12/19/2017 07:00PM ET;23.865;SAC;PHI;25.92;21.5;10.431743475077623;4.223025000000013
17;18;PG/SG;Dwyane Wade;4800;CLE@MIL 12/19/2017 08:00PM ET;24.429;CLE;MIL;24.15;27.0;12.319746092791428;0.07784099999999995
18;19;PG/SG;Malcolm Brogdon;4800;CLE@MIL 12/19/2017 08:00PM ET;24.093000000000004;MIL;CLE;21.32;24.75;10.000735267086762;7.689529000000018
19;20;C;Marcin Gortat;4700;NO@WAS 12/19/2017 07:00PM ET;25.208;WAS;NO;21.81;37.5;9.45033570986977;11.546403999999997
20;21;SF/PF;Markieff Morris;4600;NO@WAS 12/19/2017 07:00PM ET;18.977;WAS;NO;19.78;17.5;6.193035861499445;0.6448090000000013
21;22;SG/SF;E'Twaun Moore;4600;NO@WAS 12/19/2017 07:00PM ET;22.35;NO;WAS;21.46;22.5;7.14976076154779;0.792100000000001
22;23;SG/SF;Buddy Hield;4600;SAC@PHI 12/19/2017 07:00PM ET;21.731;SAC;PHI;23.16;39.25;10.188638965562976;2.0420409999999958
23;25;PF;Mike Scott;4500;NO@WAS 12/19/2017 07:00PM ET;15.777;WAS;NO;19.21;31.0;6.899860354867095;11.78548900000001
24;26;C;John Henson;4500;CLE@MIL 12/19/2017 08:00PM ET;21.435;MIL;CLE;21.74;31.0;10.888598664766414;0.09302499999999983
25;27;PF/C;Richaun Holmes;4400;SAC@PHI 12/19/2017 07:00PM ET;15.875;PHI;SAC;22.09;18.0;7.077588706951111;38.626225
26;28;PG;De'Aaron Fox;4300;SAC@PHI 12/19/2017 07:00PM ET;20.25;SAC;PHI;21.25;4.25;6.8503212030382405;1.0
27;29;SG/SF;Bogdan Bogdanovic;4300;SAC@PHI 12/19/2017 07:00PM ET;19.231;SAC;PHI;19.96;8.75;5.3259388843658355;0.5314409999999988
28;30;SF/PF;Jeff Green;4300;CLE@MIL 12/19/2017 08:00PM ET;19.282;CLE;MIL;16.18;21.5;9.840392946083675;9.622404000000001
29;31;PF/C;Trevor Booker;4200;SAC@PHI 12/19/2017 07:00PM ET;22.773000000000003;PHI;SAC;18.23;20.5;9.643882220647154;20.638849000000025
30;32;SG/SF;JR Smith;4000;CLE@MIL 12/19/2017 08:00PM ET;18.177;CLE;MIL;18.17;5.0;7.428017137600802;4.8999999999970556e-05
31;34;PF/C;Amir Johnson;3700;SAC@PHI 12/19/2017 07:00PM ET;14.952;PHI;SAC;11.28;19.25;9.177290245491855;13.483584000000004
32;35;PG;Jose Calderon;3700;CLE@MIL 12/19/2017 08:00PM ET;10.693;CLE;MIL;10.31;19.5;7.559806190826397;0.14668899999999932
33;36;SG/SF;Tony Snell;3700;CLE@MIL 12/19/2017 08:00PM ET;16.141;MIL;CLE;9.74;16.0;6.5946013025708625;40.972800999999976
34;37;PG/SG;Garrett Temple;3600;SAC@PHI 12/19/2017 07:00PM ET;16.0;SAC;PHI;13.92;27.0;6.587086296865477;4.3264000000000005
