"";"Unnamed: 0";"Position";"Name";"Salary";"GameInfo";"AvgPointsPerGame";"Team";"Opponent";"Projection";"Actual_fpts";"Consistency";"Unpredictability"
"0";"0";"C";"Karl-Anthony Towns";"8100";"MIN@LAC 12/06/2017 10:30PM ET";"40.79";"MIN";"LAC";"42.7";"53.5";"11.22303786625388";"3.648100000000014"
"1";"1";"PF/C";"LaMarcus Aldridge";"8100";"MIA@SA 12/06/2017 08:30PM ET";"40.174";"SA";"MIA";"38.9";"24.5";"8.77361058459164";"1.6230760000000024"
"2";"3";"SG";"Jimmy Butler";"7600";"MIN@LAC 12/06/2017 10:30PM ET";"36.707";"MIN";"LAC";"42.4";"40.5";"9.690808258648108";"32.41024899999997"
"3";"6";"C";"DeAndre Jordan";"6900";"MIN@LAC 12/06/2017 10:30PM ET";"32.216";"LAC";"MIN";"35.6";"47.25";"11.338135156344247";"11.451456000000002"
"4";"7";"SF/PF";"Andrew Wiggins";"6700";"MIN@LAC 12/06/2017 10:30PM ET";"30.16";"MIN";"LAC";"30.3";"20.5";"7.501874765683574";"0.01960000000000016"
"5";"8";"PG";"Jeff Teague";"6600";"MIN@LAC 12/06/2017 10:30PM ET";"32.095";"MIN";"LAC";"31.8";"35.75";"11.222642844637829";"0.08702499999999891"
"6";"9";"PF/C";"Taj Gibson";"6200";"MIN@LAC 12/06/2017 10:30PM ET";"26.36";"MIN";"LAC";"28.3";"43.5";"9.972297153931773";"3.763600000000005"
"7";"10";"PG";"Goran Dragic";"6200";"MIA@SA 12/06/2017 08:30PM ET";"30.696";"MIA";"SA";"27.2";"22.5";"6.377729893660534";"12.222016000000016"
"8";"11";"PG/SG";"Austin Rivers";"6100";"MIN@LAC 12/06/2017 10:30PM ET";"25.727";"LAC";"MIN";"28.9";"35.5";"7.94373597096924";"10.067928999999989"
"9";"12";"PF/C";"Pau Gasol";"5700";"MIA@SA 12/06/2017 08:30PM ET";"28.958";"SA";"MIA";"30.2";"24.25";"8.596629966657034";"1.5425640000000023"
"10";"13";"SG/SF";"Dion Waiters";"5600";"MIA@SA 12/06/2017 08:30PM ET";"25.5";"MIA";"SA";"24.8";"33.75";"9.815063827666963";"0.489999999999999"
"11";"14";"SF/PF";"Danilo Gallinari";"5500";"MIN@LAC 12/06/2017 10:30PM ET";"24.806";"LAC";"MIN";"23.0";"13.5";"6.917043162443843";"3.2616360000000033"
"12";"15";"SF/PF";"James Johnson";"5500";"MIA@SA 12/06/2017 08:30PM ET";"26.409";"MIA";"SA";"25.2";"20.75";"11.734814968841267";"1.4616809999999991"
"13";"16";"SF/PF";"Rudy Gay";"5200";"MIA@SA 12/06/2017 08:30PM ET";"23.864";"SA";"MIA";"29.7";"35.25";"8.42213648909442";"34.05889599999998"
"14";"18";"PF/C";"Kelly Olynyk";"4700";"MIA@SA 12/06/2017 08:30PM ET";"20.587";"MIA";"SA";"25.5";"28.5";"9.184910075739186";"24.137569000000003"
"15";"19";"SG/SF";"Danny Green";"4600";"MIA@SA 12/06/2017 08:30PM ET";"22.228";"SA";"MIA";"21.4";"29.75";"10.653714562861543";"0.6855840000000049"
"16";"20";"SG/SF";"Josh Richardson";"4500";"MIA@SA 12/06/2017 08:30PM ET";"19.761";"MIA";"SA";"20.0";"25.0";"9.280946337108123";"0.057121000000000366"
"17";"21";"SG/SF";"Wesley Johnson";"4300";"MIN@LAC 12/06/2017 10:30PM ET";"17.864";"LAC";"MIN";"20.3";"21.75";"9.714763712356989";"5.934095999999999"
